class,precision,recall,f1-score
0,0.980842279108175,0.9898333333333333,0.9853172957279137
1,0.9765483071841453,0.9855,0.9810037328909166
2,0.9732291320252744,0.9755,0.9743632428833028
3,0.9727198027937551,0.9865,0.9795614398014068
4,0.9775033829499323,0.9631666666666666,0.9702820685023505
5,0.9919354838709677,0.9635,0.9775109908691241
6,0.9685482536003973,0.9751666666666666,0.9718461921767295
7,0.9892851163569396,0.9848333333333333,0.9870542052952477
8,0.974880185093373,0.9831666666666666,0.9790058916272508
9,0.9889742733043769,0.9866666666666667,0.987819122309361
accuracy,0.9793833333333334,0.9793833333333334,0.9793833333333334
macro avg,0.9794466216287336,0.9793833333333334,0.9793764182083603
weighted avg,0.9794466216287336,0.9793833333333334,0.9793764182083603
