class,precision,recall,f1-score
0,0.9747424393486208,0.9776666666666667,0.9762023631219837
1,0.9718026183282981,0.965,0.9683893627696939
2,0.952807848443843,0.9388333333333333,0.9457689724647415
3,0.9731075697211156,0.977,0.9750499001996008
4,0.9556485355648535,0.9516666666666667,0.9536534446764092
5,0.9754112260471426,0.9586666666666667,0.9669664621333109
6,0.9400914136467515,0.9598333333333333,0.9498598053768761
7,0.9811289245156981,0.9791666666666666,0.9801468134801468
8,0.9564223926881018,0.9766666666666667,0.9664385256040241
9,0.9807531380753138,0.9766666666666667,0.978705636743215
accuracy,0.9661166666666666,0.9661166666666666,0.9661166666666666
macro avg,0.9661916106379739,0.9661166666666666,0.9661181286570001
weighted avg,0.9661916106379739,0.9661166666666666,0.9661181286570001
