class,precision,recall,f1-score
0,0.9719672951777073,0.9708333333333333,0.9713999833236054
1,0.9657718120805369,0.9593333333333334,0.9625418060200669
2,0.9483282674772037,0.936,0.9421238047307499
3,0.9665174871539864,0.9718333333333333,0.9691681210005817
4,0.9512195121951219,0.949,0.9501084598698482
5,0.972733469665985,0.9513333333333334,0.9619143916413886
6,0.9326281529698942,0.9551666666666667,0.9437628653766982
7,0.9799196787148594,0.976,0.9779559118236473
8,0.952078239608802,0.9735,0.9626699629171817
9,0.9786024740889334,0.9756666666666667,0.9771323652144884
accuracy,0.9618666666666666,0.9618666666666666,0.9618666666666666
macro avg,0.961976638913303,0.9618666666666668,0.9618777671918257
weighted avg,0.961976638913303,0.9618666666666666,0.9618777671918256
