class,precision,recall,f1-score
0,0.9805518617021277,0.9831666666666666,0.9818575233022636
1,0.979725201072386,0.9745,0.977105614973262
2,0.9703952901597982,0.9615,0.9659271661783173
3,0.9830141548709409,0.9838333333333333,0.983423573511037
4,0.968937875751503,0.967,0.9679679679679679
5,0.9812784617979423,0.9696666666666667,0.9754380082152737
6,0.9576935641947076,0.9771666666666666,0.9673321234119783
7,0.9854733678410419,0.9836666666666667,0.9845691884227208
8,0.9699868073878628,0.9803333333333333,0.975132625994695
9,0.9879477736859725,0.9836666666666667,0.985802572239853
accuracy,0.97645,0.97645,0.97645
macro avg,0.9765004358464283,0.97645,0.9764556364217369
weighted avg,0.9765004358464283,0.97645,0.9764556364217368
